time,node,url,network_id,messages_per_second,is_healthy
1648654800,HORNET,http://54.177.214.21,chrysalis-mainnet,1.9,TRUE
1648655400,HORNET,http://54.177.214.21,chrysalis-mainnet,12.6,TRUE
1648656000,HORNET,http://54.177.214.21,chrysalis-mainnet,12,TRUE
1648656600,HORNET,http://54.177.214.21,chrysalis-mainnet,12,TRUE
1648657200,HORNET,http://54.177.214.21,chrysalis-mainnet,19.9,TRUE
1648657800,HORNET,http://54.177.214.21,chrysalis-mainnet,7.2,TRUE
1648658400,HORNET,http://54.177.214.21,chrysalis-mainnet,14.9,TRUE
1648659000,HORNET,http://54.177.214.21,chrysalis-mainnet,12.3,TRUE
1648659600,HORNET,http://54.177.214.21,chrysalis-mainnet,12.3,TRUE
1648660200,HORNET,http://54.177.214.21,chrysalis-mainnet,13.6,TRUE
